Drug_Name,Reason,Description
A CN Gel(Topical) 20gmA CN Soap 75gm,Acne,Mild to moderate acne (spots)
A Ret 0.05% Gel 20gmA Ret 0.1% Gel 20gmA Ret 0.025% Gel 20gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
ACGEL CL NANO Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
ACGEL NANO Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Acleen 1% Lotion 25ml,Acne,treat the most severe form of acne (nodular acne)Â 
Aclene 0.10% Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â 
Acnay Gel 10gm,Acne,treat the most severe form of acne (nodular acne)Â 
Acne Aid Bar 50gmAcne Aid Bar 100gm,Acne,Â treat acne vulgarisÂ 
Acne UV Gel 60gm,Acne,Â treat acne vulgarisÂ 
Acne UV SPF 30 Gel 30gm,Acne,Â treat mild to moderate acne(spots)
Acnecure Gel 20gm,Acne,treatment of dry scaly skin disorders of the scalp
Acnedap Gel 15gm,Acne,Mild to moderate acne (spots)
Acnedap Plus Gel 15gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
Acnehit Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Acnelak Soap 75gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Acnelak Clz Cream 15gm,Acne,treat the most severe form of acne (nodular acne)Â 
Acnelak Z Lotion 15gm,Acne,treat the most severe form of acne (nodular acne)Â 
Acnemoist Cream 60gm,Acne,treat the most severe form of acne (nodular acne)Â 
Acnerex Soap 75gm,Acne,Â treat acne vulgarisÂ 
Acneril 1% Gel 10gmAcneril Tablet 10Acneril 0.10% Cream 20gm,Acne,Â treat acne vulgarisÂ 
Acnesol 1% Solution 25mlAcnesol Gel 20gmAcnesol Solution 45ml,Acne,Â treat mild to moderate acne(spots)
Acnesol A Nano Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp
Acnesol CL Gel 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin
Acnestal Soap 75gm,Acne,"Â gives smooth, soft, supple and fresh feeling to the skin"
Acnestar 10mg Capsule 10'SAcnestar 2.5% Soap 75gmAcnestar S Soap 75gmAcnestar 20mg Capsule 10'S,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple."
Acnetoin 20mg Capsule 10'SAcnetoin Gel 15gm,Acne,Mild to moderate acne (spots)
Acnetoin Plus Oinment 15gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
Acnetor AD 1% Ointment 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Acnetor AD Cream 15Acnetor AD Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Acnewar Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â 
Acnewar Plus Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â 
Acnex 10mg Capsule 10'SAcnex 20mg Capsule 10'SAcnex Bar 75gm,Acne,treat the most severe form of acne (nodular acne)Â 
Acnezyl Gel(Topical) 10gm,Acne,Â treat acne vulgarisÂ 
Acnicin Gel 15gmAcnicin 1/1% Solution 25ml,Acne,Â treat acne vulgarisÂ 
Acnil Soap 75gm,Acne,Â treat mild to moderate acne(spots)
Acnin Cream 50gm,Acne,treatment of dry scaly skin disorders of the scalp
Acnin Pimple Care Face Pack 50gm,Acne,Mild to moderate acne (spots)
